Day,Start,Field,Team,Event Type,Notes,Status
Monday,4p,F2,Field 2/8 allocation,Blocked,Field 2 and F8 restriction,Blocked
Monday,4p,F8,Field 2/8 allocation,Blocked,Field 2 and F8 restriction,Blocked
Monday,6p,F2,Majors LL,Practice,7 PM,Approved
Monday,6p,F3,Clinic BB,Practice,,Approved
Monday,6p,F4,Majors SB,Practice,,Approved
Monday,6p,F5,Junior,Practice,,Approved
Monday,6p,F6,Rookie SB,Practice,,Approved
Monday,6p,F7,Rookie SB,Practice,,Approved
Monday,6p,F8,Junior,Practice,,Approved
Monday,8p,F2,Rainout hold,Blocked,Saved for rainouts,Blocked
Monday,8p,F3,Senior BB,Practice,7:30 PM,Approved
Tuesday,4p,F4,Field 4/5 allocation,Blocked,50/70,Blocked
Tuesday,4p,F5,Field 4/5 allocation,Blocked,50/70,Blocked
Tuesday,6p,F2,Majors LL,Practice,7 PM,Approved
Tuesday,6p,F3,Tball,Practice,,Approved
Tuesday,6p,F4,Minors SB,Practice,,Approved
Tuesday,6p,F5,Junior,Practice,,Approved
Tuesday,6p,F6,Rookie SB,Practice,,Approved
Tuesday,6p,F7,Junior,Practice,,Approved
Tuesday,6p,F8,Junior,Practice,,Approved
Tuesday,8p,F2,Rainout hold,Blocked,Saved for rainouts,Blocked
Tuesday,8p,F5,50/70,Blocked,,Blocked
Wednesday,6p,F2,Pioneer,Practice,,Approved
Wednesday,6p,F3,Clinic SB,Practice,,Approved
Wednesday,6p,F4,POSTLEWAIT,Practice,,Approved
Wednesday,6p,F5,Clinic BB,Practice,,Approved
Wednesday,6p,F6,GALLAGHER,Practice,,Approved
Wednesday,6p,F7,PARKS,Practice,,Approved
Wednesday,6p,F8,Field 4/5 allocation,Blocked,50/70,Blocked
Wednesday,8p,F2,Majors LL,Practice,,Approved
Wednesday,8p,F3,Senior BB,Practice,7:30 PM,Approved
Thursday,4p,F4,Field 4/7 allocation,Blocked,Softball,Blocked
Thursday,4p,F7,Field 4/7 allocation,Blocked,Softball,Blocked
Thursday,6p,F1,Challenger,Practice,,Approved
Thursday,6p,F2,Pioneer,Practice,,Approved
Thursday,6p,F3,Rookie BB,Practice,,Approved
Thursday,6p,F4,Minors SB,Practice,,Approved
Thursday,6p,F5,TIERNEY,Practice,,Approved
Thursday,6p,F6,Rookie BB,Practice,,Approved
Thursday,6p,F7,Rookie BB,Practice,,Approved
Thursday,8p,F1,Pioneer,Practice,,Approved
Thursday,8p,F2,Senior BB,Practice,7:30 PM,Approved
Thursday,8p,F5,ACAMPORA,Practice,,Approved
Friday,4p,F1,ACQUAVIVA,Practice,,Approved
Friday,4p,F2,AZOIA,Practice,,Approved
Friday,4p,F3,Field 3 allocation,Blocked,60/90,Blocked
Friday,6p,F2,Majors LL,Practice,,Approved
Friday,6p,F3,Majors SB,Practice,,Approved
Friday,6p,F4,CHAMPAGNE,Practice,,Approved
Friday,6p,F5,GIORDANO,Practice,,Approved
Friday,8p,F2,Majors LL,Practice,,Approved
Friday,8p,F3,Senior BB,Practice,7:30 PM,Approved
Saturday,9a,F1,Tball,Practice,,Approved
Saturday,9a,F2,Tball,Practice,,Approved
Saturday,9a,F3,Minors SB,Practice,,Approved
Saturday,9a,F4,Tball,Practice,,Approved
Saturday,9a,F5,Clinic SB,Practice,,Approved
Saturday,9a,F6,Clinic SB,Practice,,Approved
Saturday,9a,F7,Clinic SB,Practice,,Approved
Saturday,9a,F8,Field 3 allocation,Blocked,60/90,Blocked
Saturday,11a,F1,Clinic BB,Practice,,Approved
Saturday,11a,F2,Rookie BB,Practice,,Approved
Saturday,11a,F3,Clinic BB,Practice,,Approved
Saturday,11a,F4,Minors SB,Practice,,Approved
Saturday,11a,F5,Clinic BB,Practice,,Approved
Saturday,11a,F6,Rookie SB,Practice,,Approved
Saturday,11a,F7,Rookie SB,Practice,,Approved
Saturday,11a,F8,Rookie SB,Practice,,Approved
Saturday,1p,F1,Rookie BB,Practice,,Approved
Saturday,1p,F2,Majors LL,Practice,,Approved
Saturday,1p,F3,Junior,Practice,,Approved
Saturday,1p,F4,Junior,Practice,,Approved
Saturday,1p,F5,Junior,Practice,,Approved
Saturday,1p,F6,Clinic BB,Practice,,Approved
Saturday,1p,F7,Rookie BB,Practice,,Approved
Saturday,1p,F8,Junior,Practice,,Approved
Saturday,3p,F1,Pioneer,Practice,,Approved
Saturday,3p,F2,Pioneer,Practice,,Approved
Saturday,3p,F3,Junior,Practice,,Approved
Saturday,3p,F4,Pioneer,Practice,,Approved
Sunday,3p,F2,Unavailable,Blocked,Not available 3-5:30,Blocked
Sunday,3p,F4,Unavailable,Blocked,Not available 3-5:30,Blocked
Sunday,5p,F2,Challenger,Practice,,Approved
Sunday,5p,F4,Challenger,Practice,,Approved
